ImpactID,MealID,ConditionType,Notes,Score
72,4,Gout,"Plant-based, low purines; safe for gout.",10
73,4,Fatty Liver,"High fiber, low saturated fat, nutrient-dense; excellent for fatty liver.",10
74,4,High Cholesterol,"Low saturated fat, high unsaturated fats; supports cholesterol management.",10
75,4,High Blood Pressure,"Low sodium, high potassium; beneficial for hypertension.",10
76,4,Gout,"Plant-based, low purines; very safe.",10
77,5,Fatty Liver,"High fiber, low saturated fat, plant-based; well suited for fatty liver.",9
78,5,High Cholesterol,Low saturated fat and cholesterol; beneficial for cholesterol control.,10
79,5,High Blood Pressure,"Moderate sodium, potassium-rich banana; supportive for hypertension.",9
80,5,Gout,"Plant-based, low purines; safe for gout.",10
81,5,Fatty Liver,"Rich in fiber and healthy fats, moderate saturated fat from cheese; generally suitable.",8
82,5,High Cholesterol,Contains blue cheese with saturated fat; overall nuts and greens beneficial.,7
83,5,High Blood Pressure,Sodium moderate due to cheese and dressing; could be lower.,7
84,5,Gout,"Low purines, mostly plant-based; safe for gout.",9
85,5,Fatty Liver,"Moderate fat, high fiber, low sugar; suitable for fatty liver.",8
86,5,High Cholesterol,Low saturated fat and cholesterol; good choice.,8
87,5,High Blood Pressure,Sodium is moderate; not excessive for a snack.,8
88,5,Gout,"Plant-based, low purines; safe for gout.",9
89,5,Fatty Liver,"Protein is good, but high sodium and some saturated fat; moderate suitability.",7
90,5,High Cholesterol,"Low-fat cheese is helpful, but sodium and saturated fat still present.",7
91,5,High Blood Pressure,Sodium is high due to cottage cheese and crackers; not ideal for hypertension.,5
92,5,Gout,"Dairy and wheat, moderate purines; acceptable in moderation.",7
93,5,Fatty Liver,"High fat and sodium, moderate fiber; not optimal for fatty liver.",5
94,5,High Cholesterol,Contains cheese with saturated fat; not ideal for cholesterol.,5
95,5,High Blood Pressure,High sodium; adverse for hypertension.,4
96,5,Gout,"Cheese and vegetables, moderate purines; generally acceptable.",7
97,5,Fatty Liver,"Healthy fat, fiber, and micronutrients; excellent for fatty liver.",10
98,5,High Cholesterol,"Rich in unsaturated fat, very low saturated fat; beneficial.",10
99,5,High Blood Pressure,"Very low sodium, high potassium; ideal for hypertension.",10
100,5,Gout,"Plant-based, low purines; safe for gout.",10
101,6,Fatty Liver,"High fat and saturated fat, moderate fiber, high cholesterol; not ideal for fatty liver.",5
102,6,High Cholesterol,"Eggs and biscuit add cholesterol and saturated fat; veggie sausage may help, but overall intake is high.",4
103,6,High Blood Pressure,"Sodium is high from biscuit, veggie sausage, and eggs; not recommended for hypertension.",4
104,6,Gout,Eggs and biscuit provide moderate purines; veggie sausage is preferable to meat.,6
105,6,Fatty Liver,High sugar and saturated fat; not recommended for fatty liver.,3
106,6,High Cholesterol,Contains butter and eggs; saturated fat is moderate.,4
107,6,High Blood Pressure,Sodium is low; minimal impact if consumed infrequently.,7
108,6,Gout,Low purines; generally safe for gout.,8
109,6,Fatty Liver,"High fiber, low saturated fat, plant-based protein; excellent for fatty liver.",9
110,6,High Cholesterol,"No cholesterol, low saturated fat, nuts and beans are heart-healthy.",10
111,6,High Blood Pressure,"Sodium is modest, vegetables help; supportive for blood pressure.",9
112,6,Gout,Beans and almonds are moderate in purines; generally safe in moderation.,7
113,6,Fatty Liver,"Low fat, high vitamin C, good fiber; excellent for fatty liver.",10
114,6,High Cholesterol,No cholesterol or saturated fat; beneficial.,10
115,6,High Blood Pressure,"Very low sodium, potassium-rich; supports healthy blood pressure.",10
116,6,Gout,"Plant-based, low purines; very safe for gout.",10
117,6,Fatty Liver,"Moderate fat, high fiber, plant-based; generally supportive for fatty liver.",8
118,6,High Cholesterol,"Low saturated fat, no cholesterol; nuts are heart-healthy.",9
119,6,High Blood Pressure,Sodium moderate mainly from mustard; could be lower.,8
120,6,Gout,Peanuts and rice are moderate in purines; acceptable in moderation.,7
121,6,Fatty Liver,"Low fat, rich in antioxidants and fiber; excellent for fatty liver.",10
122,6,High Cholesterol,No cholesterol or saturated fat; beneficial.,10
123,6,High Blood Pressure,"Very low sodium, potassium-rich; supports healthy blood pressure.",10
124,6,Gout,"Plant-based, low purines; very safe for gout.",10
125,7,Fatty Liver,"High fiber, no fat, and rich in antioxidants; excellent for fatty liver.",10
126,7,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
127,7,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
128,7,Gout,"Plant-based, low purines; very safe for gout.",10
129,7,Fatty Liver,"High fat and saturated fat, processed meat, moderate fiber; not recommended for fatty liver.",3
130,7,High Cholesterol,High saturated fat and cholesterol; adverse for cholesterol management.,2
131,7,High Blood Pressure,"Very high sodium from ham, bacon, cheese, and mayo; not suitable for hypertension.",1
132,7,Gout,Pork and ham are high in purines; increased risk for gout flare.,2
133,7,Fatty Liver,"Moderate fat, some sodium, good fiber; reasonable snack for fatty liver.",8
134,7,High Cholesterol,Low saturated fat and cholesterol; supportive.,9
135,7,High Blood Pressure,Sodium is moderate; acceptable if overall intake is controlled.,8
136,7,Gout,Chickpeas are moderate in purines; safe in moderate portions.,8
137,7,Fatty Liver,"High fiber, healthy fats, plant-based; excellent for fatty liver.",10
138,7,High Cholesterol,"Low saturated fat, high unsaturated fat; beneficial for cholesterol.",10
139,7,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
140,7,Gout,"Plant-based, low purines; very safe for gout.",10
141,7,Fatty Liver,"Good fiber, healthy fat, moderate sugar; suitable for fatty liver.",9
142,7,High Cholesterol,"Low saturated fat, plant-based fats; beneficial.",9
143,7,High Blood Pressure,"Low sodium, potassium-rich; supportive for blood pressure.",9
144,7,Gout,"Plant-based, low purines; safe for gout.",10
145,7,Fatty Liver,"Moderate sugar and fat, some fiber; suitable in reasonable portions.",8
146,7,High Cholesterol,Low saturated fat and cholesterol; supportive.,9
147,7,High Blood Pressure,Very low sodium; beneficial for hypertension.,10
148,7,Gout,Nuts and seeds are moderate in purines; safe in small portions.,8
149,8,Fatty Liver,"High fat and saturated fat, processed meat and cheese; not recommended for fatty liver.",3
150,8,High Cholesterol,"High saturated fat and cholesterol from bacon, cheese, and egg; adverse for cholesterol management.",2
151,8,High Blood Pressure,High sodium from bacon and cheese; not suitable for hypertension.,2
152,8,Gout,Bacon and egg are high in purines; risk for gout flare.,3
153,8,Fatty Liver,"Healthy fats, fiber, and plant protein; excellent for fatty liver.",10
154,8,High Cholesterol,"Low saturated fat, high unsaturated fat; beneficial.",10
155,8,High Blood Pressure,No sodium; optimal for hypertension.,10
156,8,Gout,"Plant-based, low purines; safe for gout.",10
157,8,Fatty Liver,"High fiber, low fat, plant-based; supportive for fatty liver.",9
158,8,High Cholesterol,"Low saturated fat, high fiber; beneficial for cholesterol management.",10
159,8,High Blood Pressure,Sodium moderate due to beans and croutons; suitable if overall intake controlled.,8
160,8,Gout,Beans are moderate in purines; safe in moderation.,7
161,8,Fatty Liver,"Moderate fat, high omega-3, but high sodium and purines; portion control advised.",6
162,8,High Cholesterol,Fish and avocado provide healthy fats; sodium and cholesterol moderate.,8
163,8,High Blood Pressure,High sodium from soy sauce and mayo; limit intake.,5
164,8,Gout,"Tuna, salmon, and crab are high in purines; avoid if gout risk is high.",3
165,8,Fatty Liver,High sugar and saturated fat; not recommended for fatty liver.,2
166,8,High Cholesterol,High sugar and saturated fat; adverse for cholesterol.,3
167,8,High Blood Pressure,Sodium is moderate; not a significant issue.,7
168,8,Gout,Dairy and nuts are moderate in purines; safe in small portions.,6
169,9,Fatty Liver,"High fiber, low fat, plant-based, good micronutrients; excellent for fatty liver.",10
170,9,High Cholesterol,"Low saturated fat, no cholesterol, healthy fats from almonds; highly beneficial.",10
171,9,High Blood Pressure,"Very low sodium, potassium-rich fruits; optimal for blood pressure.",10
172,9,Gout,"Plant-based, low purines; very safe for gout.",10
173,9,Fatty Liver,"High fiber, low fat, plant-based; supportive for fatty liver.",9
174,9,High Cholesterol,"Low saturated fat, high fiber; beneficial for cholesterol management.",10
175,9,High Blood Pressure,Sodium moderate due to beans and hummus; suitable if overall intake controlled.,8
176,9,Gout,Beans and seeds are moderate in purines; safe in moderation.,7
177,9,Fatty Liver,"Moderate fat, some sodium, good fiber; reasonable snack for fatty liver.",8
178,9,High Cholesterol,Low saturated fat and cholesterol; supportive for cholesterol control.,9
179,9,High Blood Pressure,Sodium is moderate; acceptable if overall intake is controlled.,8
180,9,Gout,Chickpeas are moderate in purines; safe in moderate portions.,8
181,9,Fatty Liver,"Moderate fat, lean protein, good fiber; suitable in portion control.",8
182,9,High Cholesterol,"Lean chicken, low saturated fat, healthy fats from olive oil and peanuts; supportive for cholesterol.",9
183,9,High Blood Pressure,"Sodium moderate, mainly from mustard; suitable if overall intake controlled.",8
184,9,Gout,Chicken and peanuts are moderate in purines; safe with moderation for gout.,7
185,10,Fatty Liver,"Moderate fat and saturated fat, refined carbs, protein from eggs; not ideal for fatty liver.",5
186,10,High Cholesterol,"High cholesterol and saturated fat from eggs, biscuit, butter; not recommended.",4
187,10,High Blood Pressure,"Sodium moderate to high, especially from biscuit; limit intake.",5
188,10,Gout,"Eggs are moderate in purines, pancakes and biscuit low; generally safe in moderation.",7
189,10,Fatty Liver,"High fiber, no fat, micronutrients; excellent for fatty liver.",10
190,10,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
191,10,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
192,10,Gout,"Plant-based, low purines; very safe for gout.",10
193,10,Fatty Liver,"Moderate fat, some saturated fat, protein, multigrain bread helps; add vegetables for best result.",7
194,10,High Cholesterol,"Moderate saturated fat and cholesterol, multigrain bread beneficial.",7
195,10,High Blood Pressure,Sodium moderate from chicken salad and bread; limit if hypertensive.,6
196,10,Gout,Chicken is moderate in purines; safe in moderation.,7
197,10,Fatty Liver,"High fiber, low saturated fat, plant-based; well suited for fatty liver.",9
198,10,High Cholesterol,Low saturated fat and cholesterol; beneficial for cholesterol control.,10
199,10,High Blood Pressure,"Moderate sodium, potassium-rich banana; supportive for hypertension.",9
200,10,Gout,"Plant-based, low purines; safe for gout.",10
201,11,Fatty Liver,"Moderate fat, low sugar, good protein, low in added sugars; supportive for fatty liver.",8
202,11,High Cholesterol,Egg increases cholesterol but low saturated fat; acceptable in moderation.,7
203,11,High Blood Pressure,Low sodium and potassium-rich banana; good for blood pressure.,9
204,11,Gout,"Egg is moderate in purines, peanut butter is low; generally safe.",8
205,11,Fatty Liver,"Moderate protein, fiber, but high fat and sodium; not optimal for fatty liver.",5
206,11,High Cholesterol,"Contains saturated fat from cream, ranch, and breaded chicken; moderate impact.",5
207,11,High Blood Pressure,"High sodium, especially from soup, breaded chicken, and ranch; not ideal for hypertension.",4
208,11,Gout,Chicken and chickpeas moderate in purines; acceptable in moderation.,6
209,11,Fatty Liver,"Moderate fat, fiber, and protein; suitable snack for fatty liver.",8
210,11,High Cholesterol,"Low saturated fat, no cholesterol; good choice.",8
211,11,High Blood Pressure,Sodium moderate but not excessive; generally acceptable.,8
212,11,Gout,"Plant-based, low purines; safe for gout.",9
213,11,Fatty Liver,"High fat, saturated fat, and refined carbs; not recommended for fatty liver.",4
214,11,High Cholesterol,"Cheese increases saturated fat; walnuts are beneficial, but overall impact is negative.",4
215,11,High Blood Pressure,High sodium from cheese and crust; not ideal for hypertension.,3
216,11,Gout,Cheese and walnuts moderate in purines; generally safe in moderation.,6
217,11,Fatty Liver,"High in fruit, fiber, low fat; excellent for fatty liver.",10
218,11,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
219,11,High Blood Pressure,"Low sodium, potassium-rich; supportive for blood pressure.",10
220,11,Gout,"Plant-based, low purines; very safe for gout.",10
221,12,Fatty Liver,"High in fat, saturated fat, and refined carbs; not recommended for fatty liver.",2
222,12,High Cholesterol,High saturated fat and cholesterol from chicken and butter; adverse for cholesterol.,2
223,12,High Blood Pressure,Very high sodium from chicken and breading; not suitable for hypertension.,1
224,12,Gout,Chicken is high in purines; increased risk for gout flare.,2
225,12,Fatty Liver,"Good protein, healthy fats, fiber from wrap and greens; reasonable for fatty liver.",8
226,12,High Cholesterol,"Low saturated fat, walnuts are heart-healthy; supportive for cholesterol.",9
227,12,High Blood Pressure,"Sodium moderate, potassium-rich greens; acceptable if overall intake controlled.",8
228,12,Gout,Chicken and walnuts moderate in purines; safe in moderation.,7
229,12,Fatty Liver,"Low saturated fat, healthy fat, and some fiber; good choice for fatty liver.",9
230,12,High Cholesterol,Very low in cholesterol and saturated fat; beneficial.,10
231,12,High Blood Pressure,"Very low sodium, potassium-rich banana; excellent for hypertension.",10
232,12,Gout,"Plant-based, low purines; very safe for gout.",10
233,12,Fatty Liver,"High fat and saturated fat, refined carbs; not recommended for fatty liver.",4
234,12,High Cholesterol,"Cheese increases saturated fat, walnuts are beneficial, but overall impact is negative.",4
235,12,High Blood Pressure,High sodium from cheese and crust; not ideal for hypertension.,3
236,12,Gout,Cheese and walnuts moderate in purines; safe in moderation.,6
237,12,Fatty Liver,"Fiber, vitamin C, no fat; excellent for fatty liver.",10
238,12,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
239,12,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
240,12,Gout,"Plant-based, low purines; very safe for gout.",10
241,12,Fatty Liver,"High in healthy fats, fiber, and antioxidants; supportive for fatty liver.",9
242,12,High Cholesterol,"Low saturated fat, high unsaturated fat; beneficial for cholesterol management.",10
243,12,High Blood Pressure,"Very low sodium, potassium-rich; supportive for hypertension.",10
244,12,Gout,Peanuts are moderate in purines; safe in portion control.,8
245,13,Fatty Liver,"Low fat, good protein, high antioxidants and fiber; excellent for fatty liver.",10
246,13,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
247,13,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
248,13,Gout,"Plant-based, low purines; very safe for gout.",10
249,13,Fatty Liver,"Contains some saturated fat and sodium from ham and cheese, avocado and peanut butter provide healthy fats.",7
250,13,High Cholesterol,Saturated fat and cholesterol from ham and cheese; avocado and peanut butter are beneficial.,6
251,13,High Blood Pressure,Sodium is moderate due to ham and cheese; better with lower sodium choices.,6
252,13,Gout,Ham is moderate in purines; portion is modest.,6
253,13,Fatty Liver,"Moderate fat, high protein, some cholesterol; suitable in moderation.",8
254,13,High Cholesterol,"High cholesterol, low saturated fat; moderation advised.",6
255,13,High Blood Pressure,Low sodium; supportive for blood pressure.,10
256,13,Gout,Egg is moderate in purines; safe in moderation.,8
257,13,Fatty Liver,"High in protein, omega-3 fats, fiber; moderate sodium and fat.",8
258,13,High Cholesterol,"Fish and olive oil are heart-healthy, moderate saturated fat.",9
259,13,High Blood Pressure,Sodium from croutons and canned salmon; could be lower.,7
260,13,Gout,Salmon is high in purines; moderation needed for gout.,5
261,13,Fatty Liver,"Contains refined carbs and sugar, moderate fat; acceptable as an occasional snack.",7
262,13,High Cholesterol,Low saturated fat and cholesterol; generally supportive.,9
263,13,High Blood Pressure,Sodium is modest; better if crackers are low-sodium.,8
264,13,Gout,"Plant-based, low purines; safe for gout.",10
265,13,Fatty Liver,"Low fat, low fiber, refined carbs, added sugar; suitable as an occasional snack.",7
266,13,High Cholesterol,"No cholesterol, very low fat; supportive.",10
267,13,High Blood Pressure,Low sodium; suitable for hypertension.,10
268,13,Gout,"Plant-based, low purines; very safe.",10
269,13,Fatty Liver,"Low fat, some fiber, whole grain; acceptable as a snack.",8
270,13,High Cholesterol,Very low saturated fat and cholesterol; supportive.,10
271,13,High Blood Pressure,Sodium moderate; limit serving size if hypertensive.,8
272,13,Gout,"Plant-based, low purines; safe for gout.",10
273,14,Fatty Liver,"High fiber, low saturated fat, some cholesterol from egg; supportive for fatty liver in moderation.",8
274,14,High Cholesterol,Contains some cholesterol and saturated fat from egg; yogurt and almonds beneficial.,7
275,14,High Blood Pressure,"Low sodium, potassium from fruit and nuts; supportive for blood pressure.",9
276,14,Gout,"Egg is moderate in purines, almonds low; suitable in moderation.",8
277,14,Fatty Liver,"High fat and sodium, low nutrient density; not recommended for fatty liver.",4
278,14,High Cholesterol,"Low saturated fat, but processed snack foods; not ideal for cholesterol.",6
279,14,High Blood Pressure,High sodium due to chips and popcorn; not suitable for hypertension.,3
280,14,Gout,"Plant-based, low purines; safe for gout.",10
281,14,Fatty Liver,"High fat, mostly unsaturated, moderate fiber and protein; large portion size not ideal for fatty liver.",6
282,14,High Cholesterol,"Low saturated fat, high unsaturated fat from nuts; supportive for cholesterol in moderation.",8
283,14,High Blood Pressure,"Sodium moderate, most from bar and crackers; acceptable if not repeated frequently.",8
284,14,Gout,Nuts are moderate in purines; portion size should be monitored.,7
285,14,Fatty Liver,"High carb and moderate fat meal, mostly unsaturated; portion control important for fatty liver.",7
286,14,High Cholesterol,"Low saturated fat, no cholesterol, healthy fat from cashews and oil; supportive for cholesterol.",9
287,14,High Blood Pressure,"Very low sodium, potassium from bok choy; excellent for blood pressure.",10
288,14,Gout,"Cashews moderate in purines, rice and bok choy low; safe in moderation.",8
289,15,Fatty Liver,"High fiber, low fat, rich in antioxidants; excellent for fatty liver.",10
290,15,High Cholesterol,"No cholesterol, low saturated fat, high fiber; very beneficial.",10
291,15,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
292,15,Gout,"Plant-based, low purines; very safe for gout.",10
293,15,Fatty Liver,"Moderate fat and sodium, lean protein; suitable, but tuna is not ideal if fatty liver is advanced.",7
294,15,High Cholesterol,"Lean protein, low saturated fat, but tuna may have some cholesterol; overall supportive.",8
295,15,High Blood Pressure,Sodium moderate from bread and tuna; best if sodium intake is controlled.,7
296,15,Gout,Tuna is high in purines; caution for gout.,3
297,15,Fatty Liver,"Healthy fats, fiber, and protein; ideal for fatty liver.",10
298,15,High Cholesterol,"High unsaturated fat, low saturated fat; beneficial.",10
299,15,High Blood Pressure,No sodium; excellent for hypertension.,10
300,15,Gout,"Low purines, plant-based; very safe.",10
301,15,Fatty Liver,"High fiber, low fat, some healthy fat from peanut butter; supportive for fatty liver.",9
302,15,High Cholesterol,"Low saturated fat, no cholesterol; beneficial.",10
303,15,High Blood Pressure,"Very low sodium, potassium-rich; excellent for hypertension.",10
304,15,Gout,"Plant-based, low purines; very safe.",10
305,15,Fatty Liver,"Moderate fat, fried preparation, high sodium; best in moderation for fatty liver.",6
306,15,High Cholesterol,"Moderate saturated fat, tofu is beneficial, fried egg and oil less ideal; supportive with moderation.",7
307,15,High Blood Pressure,High sodium from soy sauce; not ideal for hypertension.,4
308,15,Gout,"Tofu and egg moderate purines, plant-based protein; safe in moderation.",7
309,15,Fatty Liver,"High calories, healthy fats, good protein; portion control needed for fatty liver.",7
310,15,High Cholesterol,"High unsaturated fat, low saturated fat; beneficial if portion is controlled.",9
311,15,High Blood Pressure,Very low sodium; excellent for hypertension.,10
312,15,Gout,"Moderate purines, plant-based; safe in moderate portion.",8
313,16,Fatty Liver,"High fiber, healthy fats, low sugar; excellent for fatty liver.",10
314,16,High Cholesterol,"No cholesterol, high unsaturated fat; highly beneficial.",10
315,16,High Blood Pressure,"Low sodium, potassium-rich avocado; supportive for hypertension.",10
316,16,Gout,"Plant-based, low purines; very safe for gout.",10
317,16,Fatty Liver,"High fiber, no fat, micronutrients; excellent for fatty liver.",10
318,16,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
319,16,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
320,16,Gout,"Plant-based, low purines; very safe for gout.",10
321,16,Fatty Liver,"Lean protein, moderate fiber, low fat; supportive but tuna not ideal for advanced fatty liver.",8
322,16,High Cholesterol,"Lean protein, low saturated fat; supportive for cholesterol.",9
323,16,High Blood Pressure,"Moderate sodium, potassium from vegetables; generally supportive.",8
324,16,Gout,Tuna is high in purines; caution for gout.,4
325,16,Fatty Liver,"High in omega-3, fiber, and plant nutrients; portion control recommended.",8
326,16,High Cholesterol,"Salmon and tahini provide healthy fats, low saturated fat; supportive for cholesterol.",9
327,16,High Blood Pressure,"Moderate sodium, potassium from salad; generally good for blood pressure.",8
328,16,Gout,Salmon is high in purines; not ideal for gout.,4
329,17,Fatty Liver,"Moderate fat, mostly unsaturated, some fruit sugar, fiber; supportive if portion is controlled.",8
330,17,High Cholesterol,"No cholesterol, mostly healthy fats; beneficial.",10
331,17,High Blood Pressure,"Low sodium, potassium-rich; supportive for blood pressure.",10
332,17,Gout,"Plant-based, low purines; very safe for gout.",10
333,17,Fatty Liver,"Moderate fat, fiber, and protein; appropriate snack for fatty liver.",8
334,17,High Cholesterol,"Low saturated fat, no cholesterol; supportive for cholesterol.",9
335,17,High Blood Pressure,Sodium moderate; generally acceptable.,8
336,17,Gout,"Plant-based, low purines; very safe for gout.",10
337,17,Fatty Liver,"Lean protein, good fiber, moderate fat; supportive but tuna is not ideal for advanced fatty liver.",8
338,17,High Cholesterol,"Lean protein, low saturated fat; generally supportive.",9
339,17,High Blood Pressure,"Moderate sodium, potassium from vegetables; supportive if overall sodium is controlled.",8
340,17,Gout,Tuna is high in purines; not ideal for gout.,4
341,17,Fatty Liver,"Healthy fats, fiber, plant-based; excellent for fatty liver.",10
342,17,High Cholesterol,"High unsaturated fat, low saturated fat; beneficial.",10
343,17,High Blood Pressure,No sodium; very supportive.,10
344,17,Gout,"Plant-based, low purines; very safe.",10
345,17,Fatty Liver,"Moderate fat, high sodium, fried preparation; best in moderation for fatty liver.",6
346,17,High Cholesterol,Mostly plant-based and low saturated fat; supportive in moderation.,8
347,17,High Blood Pressure,High sodium from soy sauce and orange chicken; not ideal for hypertension.,4
348,17,Gout,Tofu and chicken moderate in purines; suitable with moderation.,7
349,18,Fatty Liver,"Moderate fat, high fiber, mostly unsaturated fat; supportive for fatty liver.",8
350,18,High Cholesterol,"Low cholesterol and saturated fat, healthy fat from avocado; beneficial for cholesterol.",9
351,18,High Blood Pressure,"Sodium moderate, potassium-rich, mostly plant-based; supportive for blood pressure.",8
352,18,Gout,"Plant-based, low purines; very safe for gout.",10
353,18,Fatty Liver,"Low calorie, high fiber, micronutrients; excellent for fatty liver.",10
354,18,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
355,18,High Blood Pressure,"No sodium, potassium-rich; excellent for blood pressure.",10
356,18,Gout,"Plant-based, low purines; very safe for gout.",10
